INDEX,NDVImax250,JJA_tavg25,JJA_ppt_av,JJA_mean_w,distance_w,dist_pastu,dem250,remoteness,soil250,veg250,slope250,Latitude,Longitude,PresBack
5409,6658.169922,8.4566402,47.4333992,4.2002602,0.0,1060.660034,15.8259001,0.0,7.0,5.0,3.04811,66.03998779767697,-22.426697945448918,1
5409,6658.169922,8.4566402,47.4333992,4.2002602,0.0,1060.660034,15.8259001,0.0,7.0,5.0,3.04811,66.03827374285224,-22.428677992644737,1
6597,7940.549805,8.9117603,41.8706017,4.4138198,750.0,250.0,16.0,0.0,9.0,2.0,0.0056066,66.03801244374516,-20.397995960692963,1
5409,6658.169922,8.4566402,47.4333992,4.2002602,0.0,1060.660034,15.8259001,0.0,7.0,5.0,3.04811,66.04046402032576,-22.43197470120819,1
5409,6658.169922,8.4566402,47.4333992,4.2002602,0.0,1060.660034,15.8259001,0.0,7.0,5.0,3.04811,66.04008696922004,-22.434000721032064,1
5096,7726.910156,9.2829399,60.3333015,3.71931,353.553009,1250.0,51.7905998,0.0,9.0,4.0,5.6515498,66.04655531353416,-15.085631715572303,1
5096,7726.910156,9.2829399,60.3333015,3.71931,353.553009,1250.0,51.7905998,0.0,9.0,4.0,5.6515498,66.04655531353416,-15.085631715572303,1
6095,7633.229981,8.52526,47.8098984,5.1514802,2150.580078,790.5689697,20.5417995,0.0,1.0,6.0,4.0143499,66.05168683707146,-17.343111077030652,1
4852,6837.390137,9.1690102,60.7108002,3.8002,1118.030029,1802.780029,100.0,0.0,2.0,4.0,3.24528,66.05336110554623,-15.087954125481245,1
4629,7523.910156,9.1068697,60.3562012,3.7,2061.550049,500.0,40.0,0.0,9.0,4.0,2.8101599,66.05707996637149,-15.0840035191614,1
4629,7523.910156,9.1068697,60.3562012,3.7,2061.550049,500.0,40.0,0.0,9.0,4.0,2.8101599,66.0615938762671,-15.08450864388429,1
4629,7523.910156,9.1068697,60.3562012,3.7,2061.550049,500.0,40.0,0.0,9.0,4.0,2.8101599,66.06333624628165,-15.081632520726192,1
4629,7523.910156,9.1068697,60.3562012,3.7,2061.550049,500.0,40.0,0.0,9.0,4.0,2.8101599,66.06516311138948,-15.074274608685046,1
4629,7523.910156,9.1068697,60.3562012,3.7,2061.550049,500.0,40.0,0.0,9.0,4.0,2.8101599,66.06514534271234,-15.083899991581694,1
4629,7523.910156,9.1068697,60.3562012,3.7,2061.550049,500.0,40.0,0.0,9.0,4.0,2.8101599,66.06581367627294,-15.084395203401881,1
4420,7933.870117,9.0286102,60.0438995,3.7,3041.379883,353.553009,33.0,0.0,9.0,9.0,3.06865,66.0675769023283,-15.080564117623306,1
4420,7933.870117,9.0286102,60.0438995,3.7,3041.379883,353.553009,33.0,0.0,9.0,9.0,3.06865,66.06785723998327,-15.083131817967145,1
4420,7933.870117,9.0286102,60.0438995,3.7,3041.379883,353.553009,33.0,0.0,9.0,9.0,3.06865,66.06861798770684,-15.079807618293769,1
